id;description;libele;niveau
1;Bedfordshire Fresh Guadeloupe;Wooden withdrawal Rubber;DEBUTANT
2;Burg;optimal static;EXELLENT
3;compressing;SDD Handcrafted Cotton Soap;INTERMEDIAIR
4;Orchestrator strategize primary;Manager context-sensitive;DEBUTANT
5;Ameliorated Awesome;Forward Orchestrator calculate;EXELLENT
6;Engineer;Cheese;DEBUTANT
7;Palestinian Territory Investment Account;Steel Unbranded Face to face;INTERMEDIAIR
8;eyeballs;Cotton Investment Account;DEBUTANT
9;Agent Fort Cambridgeshire;client-server;EXELLENT
10;Infrastructure Chicken Plaza;Avon calculate;INTERMEDIAIR
