id;description;libele;niveau
1;Corporate Keyboard Awesome;Ergonomic Steel Shoes models;DEBUTANT
2;RSS Fully-configurable;payment invoice;EXELLENT
3;Sudanese Pound Intelligent Soft Tuna;driver client-server Licensed;INTERMEDIAIR
4;THX Estates;generating;DEBUTANT
5;Stand-alone violet;program value-added Junctions;BIEN
6;Toys;Rubber neural;DEBUTANT
7;deposit back-end brand;South Dakota world-class;EXELLENT
8;Forges AI Point;Credit Card Account bypass;INTERMEDIAIR
9;lavender calculating Intelligent Plastic Soap;interfaces Direct quantify;TRES_BIEN
10;Customer Bedfordshire mint green;Gloves solid state Data;INTERMEDIAIR
